prescreen_key,,,
question_id,export_name,question_text,section_id
125,Student ID,What are the first four digits of your UBC student ID number?,18
128,Consent,"Principal Investigator: Dr. Steve Heine, UBC Department of Psychology. Phone: 604-822-6908. Email: heine@psych.ubc.caPurpose: The purpose of this study is to collect information about your feelings, attitudes, past experiences, and personal characteristics. Researchers may use this information to screen you for other studies in the Human Subjects Pool (HSP) for which you may qualify. Researchers may also use this information to link pre-screening responses to data that was collected in a laboratory setting, or to collect data on an independent research project using questionnaires included in the pre-screening survey.Study Procedure: If you decide to participate, you will be asked to complete a series of surveys. These surveys reflect the diverse interests of members of the Psychology department, and therefore the questions will span a broad range of topics, including some topics you might consider sensitive; specifically, this pre-screening survey includes questions about your ethnocultural background, religious beliefs and affiliations, sexual practices, health conditions, and personal attitudes. There are no known risks associated with participation in this study and no known conflicts of interest on the part of the researchers. If you have any questions at anytime about the procedures or your involvement feel free to ask the researchers.Potential Risks: By responding to the pre-testing survey online, you will face the same kinds of risk to confidentiality that occurs whenever you enter personal information over the internet. However, every effort will be made to minimize these risks (e.g., the HSP website automatically encrypts the responses you enter).Potential Benefits: There are no benefits for participants, aside from the opportunity to learn about psychological research and to be directed toward studies that are relevant to them.Compensation: For your participation, you will receive one half-credit in the HSP system.Confidentiality: Any information you provide in this study will be kept strictly confidential. You will be asked to create a code number, which will be linked to the pre-testing responses you provide. If a researcher wishes to access your pre-testing data when you later complete a particular study, they will ask you to provide this code number; whether to do so is entirely at your discretion. Only HSP administrators will be able to access the data linking your name and code number, and this data will be stored on a password-protected computer in a locked office. In addition, if your pre-testing responses indicate that you meet the qualifications for particular studies, these studies will be automatically displayed to you by the online sign-up system; therefore, if you choose to sign up for a given study, the researchers will assume that you meet the qualifying criteria.Contact: If you have any other questions or desire further information with respect to this study, please contact Dr. Steve Heine (Phone: 604-822-6908. Email: heine@psych.ubc.ca)Contact for concerns about the rights of research subjects: If you have any concerns about your treatment or rights as a research subject, you may contact the Research Subject Information Line in the UBC Office of Research Services at 604-822-8598 or if long distance e-mail to RSIL@ors.ubc.ca.Consent:Your participation is entirely voluntary and you may refuse to participate or withdraw from the study at any time without jeopardy to any relationship you have with the University of British Columbia. If the questionnaire is completed, it will be assumed that consent has been given.",19
129,Birth Month,"What is the month of your birth? (e.g., 08 for August)",18
130,Birth Day,"What is the day of your birth? (e.g., 02 for the 2nd day of the month)",18
498,Admin1,"Some researchers may contact you directly to invite you to participate in their study, based on some of the answers you provided in this questionnaire. Do you give permission to be directly contacted?",48
500,HSP ID,"Now, what is your HSP ID? (HINT: Put all the previous eight numbers together!)",18
501,Email,If you would like to be contacted for future research based on your answers on this questionnaire please give us your email.,48
954,help,Do you find the above information helpful?,89
1426,Gender,What is your gender?,140
1427,Gender_Other,"If you answered (1) with ""other"", how do you prefer to be identified as?",140
1428,Age,What is your age?,140
1429,Culture,What is your cultural background?,140
1430,Culture_Other,"If you answered ""other"" to (4), what is your cultural background?",140
1431,First_Lanuage,What was your first language?,140
1432,First_Lanuage_O,"If you answered ""other"" to (6), what was your first language?",140
1434,First_Lanuage_2,"If you answered ""both English and another language"" to (6), what was the other language besides English?",140
1435,English_Years,"If English is NOT your first language, how many years have you spoken English?",140
1436,English_Fluent,How fluent is your English?,140
1438,Nationality,What is your nationality?,140
1440,Years_Canada,"If you were not born in Canada, how many years have you lived in Canada?",140
1442,Old_Move_Canada,How old were you when you moved to Canada?,140
1443,Religion,What is your religious affiliation?,140
1444,Religion_Other,"If you answered ""other"" to (15), what is your religious affiliation?",140
1445,Handedness,Which do you identify as?,140
1446,Political,"When it comes to politics, which descriptor best identifies your general political beliefs?",140
1447,Year_School,Which year of study are you currently in?,140
1462,Klonsky_1,Have you ever seriously thought about killing yourself?,144
1463,Klonsky_2,How many times have you actually tried to kill yourself?,144
1829,Sex_Orientation,What is your sexual orientation?,140
1830,Sex_Orient_Othr,"If you answered ""other"" to (20) above, what is your sexual orientation?",140
1989,UBC_Faculty,What is your faculty at UBC? You may select all that apply,140
1990,Faculty_Other,"If you answered ""other"" to (22) above, what is your faculty at UBC?",140
1991,UBC_Major,What is your major at UBC? You may select all that apply.,140
1992,Major,"What is your major at UBC (if you are a double major, please write all majors that apply)?",140
2059,Country_Born,Where were you born?,140
2060,country_born_2,"If you selected ""other"", and you were not born in any of the provided countries, please identify the country you were born",140
2299,Mom education,What was your mother's highest level of education?,140
2300,Dad education,What was your father's highest level of education?,140
2301,Family.income,Please select the answer below that is closest to your family's yearly income before taxes.,140
2312,Attn,"Research in decision making shows that people, when making decisions and answering questions, prefer not to pay attention and minimize their effort as much as possible. Some studies show that over 50% of people don’t carefully read questions. If you are reading this question and have read all the other questions, please select the box marked ‘other’ and type ‘Decision Making’ in the box below. Do not select “predictions of your own behavior.” Thank you for participating and taking the time to read through the questions carefully! What was this study about?",215
2313,Attnother,"If you selected ""other"" above, please specify:",215
2345,Schmader.3,"In your own view, to what extent do you believe that gender bias towards women in STEM (science, technology, engineering, and mathematics) is a problem?",219
2346,Schmader.4,"Taking the perspective of male UBC students in general, to what extent do you think male UBC students believe that gender bias towards women in STEM (science, technology, engineering, and mathematics) is a problem?",219
2347,Schmader.5,"Taking the perspective of female UBC students in general, to what extent do you think female UBC students believe that gender bias towards women in STEM (science, technology, engineering, and mathematics) is a problem?",219
2369,BIological.sex,Please indicate your biological sex,140
2421,Dunn.1,"When I attend studies for the HSP system, I typically...",231
2458,KingstoneForb.1,I often notice small sounds when others do not.,236
2459,KingstoneForb.2,"I usually concentrate more on the whole picture, rather than the small details.",236
2460,KingstoneForb.3,I find it easy to do more than one thing at a time.,236
2461,KingstoneForb.4,"If there is an interruption, I can switch back to what I was doing very quickly",236
2462,KingstoneForb.5,"I find it easy to ""read between the lines"" when someone is talking to me.",236
2463,KingstoneForb.6,I know how to tell if someone listening to me is getting bored.,236
2464,KingstoneForb.7,When I'm reading a story I find it difficult to work out the characters' intentions.,236
2465,KingstoneForb.8,"I like to collect information about categories of things (e.g., types of car, types of bird, types of train, types of plant, etc.)",236
2466,KingstoneForb.9,I find it easy to work out what someone is thinking or feeling just by looking at their face.,236
2467,KingstoneFor.10,I find it difficult to work out people's intentions.,236
2553,age.30,Are you between the ages of 18-30?,140
2588,age.28,Are you between the ages of 18-28?,140
2589,Dunn.2,Have you ever participated in a study that asked you to wear a lanyard while taking the bus?,231
2590,Schmader.aday,"Of these two options, which of the following BEST describes you? Please select a point on the scale to represent how strongly you identify with either response",219
2591,Todd.1,"""I worry too much over something that really doesn’t matter"".",247
2592,mikami.1.ext,I say or do things without thinking them through first,248
2593,mikami.2.ext,"I have difficulty organizing things or staying organized about things such as my room, work schedule, class notes, or school assignments",248
2598,clark.1,Have you played or gambled on a slot machine?,249
2599,clark.2,Do you play video games?,249
2600,clark.3,"Have you spent money to buy or open 'loot boxes' (i.e., virtual in-game items that generate a random reward once opened)?",249
2601,clark.4,"Have you spent money on non-loot box micro-transactions (i.e., in-game purchases)?",249
2602,clark.5,Please estimate your expenditure on loot boxes and other micro-transactions over the past 12 months:,249
2603,E.Kim.1,I have a clear understanding of the ultimate meaning of life.,250
2604,E.Kim.2,The meaning of life in the world around us is evident to me.,250
2605,E.Kim.3,I have a framework that allows me to understand or make sense of human life.,250
2606,E.Kim.4,I understand my life’s meaning.,250
2607,E.Kim.5,I can make sense of the things that happen in my life.,250
2608,E.Kim.6,I have a philosophy of life that helps me understand who I am.,250
2609,E.Kim.7,I am living the kind of meaningful life I want to live.,250
2610,E.Kim.8,Living is deeply fulfilling.,250
2611,E.Kim.9,I feel like I have found a really significant meaning in my life.,250
2612,E.Kim.10,The things I do are important to other people.,250
2613,E.Kim.11,I have accomplished much in life as a whole.,250
2614,E.Kim.12,I make a significant contribution to society.,250
2615,E.Kim.13,I have been aware of an all-encompassing and consuming purpose toward which my life has been directed,250
2616,E.Kim.14,I have a sense of mission or calling.,250
2617,E.Kim.15,I have a mission in life that gives me a sense of direction.,250
2618,E.Kim.16,I have a sense of direction and purpose in life.,250
2619,E.Kim.17,I can describe my life’s purposes.,250
2620,E.Kim.18,My current aims match with my future aspirations.,250
2621,E.Kim.19,In my life I have very clear goals and aims.,250
2622,E.Kim.20,I have goals in life that are very important to me.,250
2623,E.Kim.21,I have definite ideas of things I want to do.,250
2624,werker.1,"If you speak Hindi, Tamil, Urdu, Kannada, Marathi, Gujarati, or Pashto, please indicate when you first began to learn any of the languages listed. If you speak more than one of them, answer this question using the one that you learned first.",251
2625,werker.2,Please list every language that you speak and understand (including English):,251
2626,Roddick.1,Are you currently taking an oral or topical medication? (This does NOT include hormonal contraceptive use.),252
2627,Roddick.2,Do you have a current or previous medical condition? (This includes physical and/or mental health conditions.),252
2628,Roddick.3,How often do you smoke cigarettes and/or marijuana?,252
2629,Ho.1,Have you ever taken a high school or university course that involved learning brain anatomy?,253
2630,Tracy.1,Accomplished,254
2631,Tracy.2,Confident,254
2632,Tracy.3,Fulfilled,254
2633,Tracy.4,Arrogant,254
2634,Tracy.5,Egotistical,254
2635,Tracy.5,Smug,254
2636,Heine.1.1,"A person’s moral character is something basic about them, and it can’t be changed very much.",255
2637,Heine.1.2,Whether a person is responsible and sincere or not is deeply ingrained in their personality. It cannot be changed very much.,255
2638,Heine.1.3,"There is not much that can be done to change a person’s moral traits (e.g., conscientiousness, uprightness, honesty).",255
2639,Heine.2.1,Even the most morally upstanding people sometimes act immorally.,255
2640,Heine.2.2,Only morally bad people do hurtful things.,255
2641,Heine.2.3,Even people who sometimes act immorally can at other times be very caring and kind to others.,255
2642,Heine.2.4,There are two kinds of people in the world: those who act morally and those who act immorally.,255
2643,Heine.3.1,How confident are you that your general impressions of other people are correct?,255
2644,Heine.3.2,How accurate do you think your general impressions of other people are?,255
2645,Heine.3.3,How would you rate your ability as a judge of character?,255
2646,Adlen.1,How frequently do you seek reassurance from other people and/or the Internet when you are feeling worried or anxious about something?,256
2649,ACQ,"1) Please select ""Definitely Disagree"" for this question.",236
2650,Vika.Vx.q1,"Compared to others, I feel I am a person of a fair amount of worth.",259
2651,Vika.Vx.q2,I feel I have many good qualities.,259
2652,Vika.Vx.q3,"All in all, I feel I am somewhat a failure.",259
2653,Vika.Vx.q4,"Compared to others, I feel I am quite competent.",259
2654,Vika.Vx.q5,I feel I have little to be proud of.,259
2655,Vika.Vx.q6,I have a quite positive attitude towards myself.,259
2656,Vika.Vx.q7,I am quite satisfied with myself.,259
2657,Vika.Vx.q8,I often feel useless.,259
2658,Vika.Vx.q9,I have little respect for myself.,259
2659,Vika.Vx.q10,I often think I am no good at all.,259
2660,Vika.Vy.q1,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2661,Vika.Vy.q2,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2662,Vika.Vy.q3,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2663,Vika.Vy.q4,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2664,Vika.Vy.q5,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2665,Vika.Vy.q6,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2666,Vika.Vy.q7,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2667,Vika.Vy.q8,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2668,Vika.Vy.q9,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2669,Vika.Vy.q10,Below are groups of statements dealing with your general feelings about yourself. Please pick the option that best describes you in each group of statements.,260
2670,Engstrom.1,Now think about yourself. Please tell us where you think you would be on this ladder. Select the number that best represents where you would be on this ladder.,261
2673,mikami.3.int,"I've been feeling depressed, down, sad, empty, or hopeless.",262
2674,mikami.4.int,I've been continually worried or anxious about a number of events or activities in my daily life.,262
2681,mikami.5.smu,How often do you use/check the social media apps Facebook or Instagram?,263
2682,mikami.6.smu,"Lately, the impact that my social media use has had on my well-being has been:",263
2683,SEC236,[SECTION SUM (ID: 236 )],236
2684,SEC248,[SECTION SUM (ID: 248 )],248
2685,SEC262,[SECTION SUM (ID: 262 )],262
2686,SEC263,[SECTION SUM (ID: 263 )],263
2687,psych.major.yn,"Are you a psychology major? (if you are double-majoring in psychology and another field, select yes)",140
