prescreen_key,,,
question_id,export_name,question_text,section_id
125,Student ID,What are the first four digits of your UBC student ID number?,18
129,Birth Month,"What is the month of your birth? (e.g., 08 for August)",18
130,Birth Day,"What is the day of your birth? (e.g., 02 for the 2nd day of the month)",18
500,HSP ID,"Now, what is your HSP ID? (HINT: Put all the previous eight numbers together!)",18
954,help,Do you find the above information helpful?,89
1426,Gender,What is your gender?,140
1427,Gender_Other,"If you answered (1) with ""other"", how do you prefer to be identified as?",140
1428,Age,What is your age?,140
1429,Culture,What is your cultural background?,140
1430,Culture_Other,"If you answered ""other"" to (4), what is your cultural background?",140
1431,First_Lanuage,What was your first language?,140
1432,First_Lanuage_O,"If you answered ""other"" to (6), what was your first language?",140
1434,First_Lanuage_2,"If you answered ""both English and another language"" to (6), what was the other language besides English?",140
1435,English_Years,"If English is NOT your first language, how many years have you spoken English?",140
1436,English_Fluent,How fluent is your English?,140
1438,Nationality,What is your nationality?,140
1440,Years_Canada,"If you were not born in Canada, how many years have you lived in Canada?",140
1442,Old_Move_Canada,How old were you when you moved to Canada?,140
1443,Religion,What is your religious affiliation?,140
1444,Religion_Other,"If you answered ""other"" to (15), what is your religious affiliation?",140
1445,Handedness,Which do you identify as?,140
1446,Political,"When it comes to politics, which descriptor best identifies your general political beliefs?",140
1447,Year_School,Which year of study are you currently in?,140
1462,Klonsky_1,Have you ever seriously thought about killing yourself?,144
1463,Klonsky_2,How many times have you actually tried to kill yourself?,144
1829,Sex_Orientation,What is your sexual orientation?,140
1830,Sex_Orient_Othr,"If you answered ""other"" to (20) above, what is your sexual orientation?",140
1989,UBC_Faculty,What is your faculty at UBC? You may select all that apply,140
1990,Faculty_Other,"If you answered ""other"" to (22) above, what is your faculty at UBC?",140
1992,Major,"What is your major at UBC (if you are a double major, please write all majors that apply)?",140
2059,Country_Born,Where were you born?,140
2060,country_born_2,"If you selected ""other"", and you were not born in any of the provided countries, please identify the country you were born",140
2299,Mom education,What was your mother's highest level of education?,140
