HSP ID,help,Gender,Gender_Other,Age,Culture,Culture_Other,First_Lanuage,First_Lanuage_O,First_Lanuage_2,English_Years,English_Fluent,Nationality,Years_Canada,Old_Move_Canada,Religion,Religion_Other,Handedness,Political,Year_School,E.Kim.1,E.Kim.2,E.Kim.3,E.Kim.4,E.Kim.5,E.Kim.6,E.Kim.7,E.Kim.8,E.Kim.9,E.Kim.10,E.Kim.11,E.Kim.12,E.Kim.13,E.Kim.14,E.Kim.15,E.Kim.16,E.Kim.17,E.Kim.18,E.Kim.19,E.Kim.20,E.Kim.21
35970412,I don't know,Man,[Decline to Answer],25,East Asian,[Decline to Answer],Korean,[Decline to Answer],[Decline to Answer],18,7. Completely fluent,Korean-Canadian,18,7,Atheist,[Decline to Answer],Mostly right handed,Slightly liberal,4th,Slightly disagree,Slightly disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree
14050223,I don't know,Woman,[Decline to Answer],25,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],[Decline to Answer],Agnostic,[Decline to Answer],Mostly right handed,Slightly conservative,Other,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
41610829,Yes,Woman,[Decline to Answer],25,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,[Decline to Answer],Other,Slightly disagree,Neither agree nor disagree,Slightly disagree,Disagree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree
40930921,Yes,Woman,[Decline to Answer],25,African,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Christian,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Agree
36320701,I don't know,Woman,N/A,25,European,N/A,English,N/A,N/A,N/A,7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Nonreligious,N/A,Mostly right handed,Neutral/moderate,4th,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Neither agree nor disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly agree
46360611,Yes,Woman,[Decline to Answer],[Decline to Answer],East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],[Decline to Answer],6,Canadian,9,16,Nonreligious,[Decline to Answer],Mostly left handed,Moderately conservative,Other,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree
44640814,Yes,Woman,[Decline to Answer],25,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],8,7. Completely fluent,Chinese,7,17,Nonreligious,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Slightly agree,Slightly disagree,Agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Slightly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
22531104,Yes,Woman,[Decline to Answer],[Decline to Answer],East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],8,4,[Decline to Answer],8,17,[Decline to Answer],[Decline to Answer],Mostly right handed,Neutral/moderate,Other,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Agree,Strongly agree
54900730,Yes,Woman,[Decline to Answer],26,South East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Tagalog,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Ambidextrious,Strongly liberal,3rd,Agree,Neither agree nor disagree,Agree,Agree,Slightly disagree,Agree,Agree,Agree,Strongly agree,Agree,Slightly agree,Slightly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
51320428,No,Woman,[Decline to Answer],[Decline to Answer],Middle Eastern,[Decline to Answer],Farsi,[Decline to Answer],[Decline to Answer],13,7. Completely fluent,Persian,13,12,Muslim,[Decline to Answer],Mostly right handed,Slightly liberal,4th,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Disagree,Disagree,Strongly disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Strongly disagree
