duration,HSP ID,help,Gender,Gender_Other,Age,Culture,Culture_Other,First_Lanuage,First_Lanuage_O,First_Lanuage_2,English_Years,English_Fluent,Nationality,Years_Canada,Old_Move_Canada,Religion,Religion_Other,Handedness,Political,Year_School,Sex_Orientation,Sex_Orient_Othr,UBC_Faculty,Faculty_Other,Major,Country_Born,country_born_2,Mom education,Dad education,Family.income,Attn,Attnother,BIological.sex,age.30,age.28,Kim.1,Kim.2,Kim.3,Kim.4,Kim.5,Kim.6,Kim.7,Kim.8,Kim.9,Kim.10,Kim.11,Kim.12,Kim.13,Kim.14,Kim.15,Kim.16,Kim.17,Kim.18,Kim.19,Kim.20,Kim.21
19,29750306,Yes,Woman,N/A,27,East Asian,N/A,Both English and another language,N/A,Mandarin,N/A,7. Completely fluent,Canadian,19,8,Nonreligious,N/A,Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,N/A,"Faculty of Arts, Other","Unclassified (formerly Arts, Class of 2016)",[Decline to Answer],China,N/A,Some college,Professional or Graduate Degree (e.g. PhD MD),"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree
15,37580408,Yes,Woman,[Decline to Answer],[Decline to Answer],East Asian,[Decline to Answer],Cantonese,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,20+,Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],Mostly right handed,[Decline to Answer],3rd,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],High school graduate,2 year degree (e.g.technical college degree),"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,Yes,Yes,2 Disagree,2 Disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,4 Neither agree nor disagree,1 Strongly disagree,4 Neither agree nor disagree,2 Disagree,1 Strongly disagree,[Decline to Answer],1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,4 Neither agree nor disagree,1 Strongly disagree,3 Slightly disagree,4 Neither agree nor disagree
26,99900720,Yes,Woman,[Decline to Answer],55,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian and American (dual citizen),[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly right handed,Moderately liberal,4th,Other,Mostly heterosexual,Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],High school graduate,2 year degree (e.g.technical college degree),"$35,001 - $50,000",Other (Please specify below),Decision Making,Female,No,No,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree
16,38000603,Yes,Woman,[Decline to Answer],25,South East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Vietnamese,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Buddhist,[Decline to Answer],Mostly right handed,Neutral/moderate,2nd,Heterosexual/straight only,[Decline to Answer],Faculty of Land and Food Systems,[Decline to Answer],"Food, Nutrition, and Health",Canada,[Decline to Answer],High school graduate,High school graduate,"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,Yes,Yes,2 Disagree,3 Slightly disagree,2 Disagree,2 Disagree,3 Slightly disagree,5 Slightly agree,2 Disagree,3 Slightly disagree,2 Disagree,5 Slightly agree,1 Strongly disagree,2 Disagree,2 Disagree,2 Disagree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,7 Strongly agree,6 Agree
8,54480828,Yes,Woman,[Decline to Answer],26,East Asian,[Decline to Answer],Both English and another language,Mandarin,[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly left handed,Slightly liberal,Other,Heterosexual/straight only,[Decline to Answer],Other,Unclassified,[Decline to Answer],Canada,[Decline to Answer],High school graduate,4 year degree (e.g.Bachelor's degree),"$100,001 - $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree
14,36441122,Yes,Woman,[Decline to Answer],24,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Christian,[Decline to Answer],Mostly left handed,Moderately liberal,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],High school graduate,High school graduate,[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,3 Slightly disagree,2 Disagree,5 Slightly agree,3 Slightly disagree,5 Slightly agree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,3 Slightly disagree,2 Disagree,1 Strongly disagree,3 Slightly disagree,2 Disagree,2 Disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,2 Disagree,3 Slightly disagree,3 Slightly disagree
14,54900730,Yes,Woman,[Decline to Answer],27,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Ambidextrious,Strongly liberal,3rd,Heterosexual/straight somewhat more,[Decline to Answer],"Faculty of Arts, Faculty of Science",[Decline to Answer],Biology & Arts Psychology,Canada,[Decline to Answer],High school graduate,High school graduate,"$15,001 - $25,000",Other (Please specify below),Decision Making,Female,Yes,Yes,6 Agree,2 Disagree,3 Slightly disagree,6 Agree,5 Slightly agree,7 Strongly agree,6 Agree,5 Slightly agree,7 Strongly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,6 Agree
11,10580902,Yes,Woman,[Decline to Answer],31,South East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],punjabi,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Mostly right handed,Neutral/moderate,Other,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],speech science,Canada,[Decline to Answer],"4 year (e.g., Bachelor's degree)",Some college,"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,No,No,6 Agree,6 Agree,6 Agree,6 Agree,4 Neither agree nor disagree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,6 Agree,7 Strongly agree,6 Agree,7 Strongly agree,7 Strongly agree
17,37260713,Yes,Woman,[Decline to Answer],25,South East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Filipino,11,13,Christian,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,[Decline to Answer],Other,alumni,I already graduated with a Psychology major,Other,Philippines,"4 year (e.g., Bachelor's degree)",Professional or Graduate Degree (e.g. PhD MD),"$75,001 - $100,000",Other (Please specify below),decision making,Female,Yes,Yes,6 Agree,6 Agree,7 Strongly agree,6 Agree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree
10,13711224,Yes,Woman,n/a,24,East Asian,n/a,Mandarin,n/a,n/a,18,6,Chinese,7,16,Atheist,n/a,Ambidextrious,Moderately liberal,4th,Heterosexual/straight mostly,n/a,Faculty of Arts,n/a,Computer Science,China,n/a,Less than high school,Some college,"$100,001 - $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree
