"HSP ID","help","Gender","Gender_Other","Age","Culture","Culture_Other","First_Lanuage","First_Lanuage_O","First_Lanuage_2","English_Years","English_Fluent","Nationality","Years_Canada","Old_Move_Canada","Religion","Religion_Other","Handedness","Political","Year_School","CG1","CG2","CG3","CI1","CI2","CI3","SS1","SS2","SS3","SO1","SO2","SO3","DM1","DM2","DM3","DP1","DP2","DP3","DG1","DG2","DG3","HSP ID_decline","help_decline","Gender_decline","Gender_Other_decline","Age_decline","Culture_decline","Culture_Other_decline","First_Lanuage_decline","First_Lanuage_O_decline","First_Lanuage_2_decline","English_Years_decline","English_Fluent_decline","Nationality_decline","Years_Canada_decline","Old_Move_Canada_decline","Religion_decline","Religion_Other_decline","Handedness_decline","Political_decline","Year_School_decline","CG1_decline","CG2_decline","CG3_decline","CI1_decline","CI2_decline","CI3_decline","SS1_decline","SS2_decline","SS3_decline","SO1_decline","SO2_decline","SO3_decline","DM1_decline","DM2_decline","DM3_decline","DP1_decline","DP2_decline","DP3_decline","DG1_decline","DG2_decline","DG3_decline","item_decline_total","Age_Group","keep_case","random_split"
"35970412","I don't know",2,NA,25,"East Asian",NA,"Korean",NA,NA,"18","7. Completely fluent","Korean-Canadian","18","7","Atheist",NA,"Mostly right handed","Slightly liberal",4,3,3,4,5,5,4,3,3,5,5,4,4,3,3,3,3,5,4,5,5,5,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"14050223","I don't know",1,NA,25,"European",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian",NA,NA,"Agnostic",NA,"Mostly right handed","Slightly conservative",5,3,3,5,3,5,5,3,4,4,5,3,3,3,5,5,5,5,5,5,5,5,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"41610829","Yes",1,NA,25,"East Asian",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Atheist",NA,"Mostly right handed",NA,5,3,4,3,2,3,4,3,5,3,4,5,4,3,3,5,4,4,5,4,5,5,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
"40930921","Yes",1,NA,25,"African",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Christian",NA,"Mostly right handed","Moderately liberal",5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,5,5,5,7,6,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
"36320701","I don't know",1,NA,25,"European",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Nonreligious",NA,"Mostly right handed","Neutral/moderate",4,4,4,4,3,5,5,3,4,2,3,3,3,2,2,2,2,2,2,2,2,5,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"46360611","Yes",1,NA,NA,"East Asian",NA,"Mandarin",NA,NA,NA,"6","Canadian","9","16","Nonreligious",NA,"Mostly left handed","Moderately conservative",5,2,2,2,2,2,3,2,3,3,6,2,5,3,3,3,3,3,5,5,5,7,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
"44640814","Yes",1,NA,25,"East Asian",NA,"Mandarin",NA,NA,"8","7. Completely fluent","Chinese","7","17","Nonreligious",NA,"Mostly right handed","Moderately liberal",5,5,3,6,5,6,5,3,6,4,5,3,3,5,2,2,5,6,7,7,7,7,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
"22531104","Yes",1,NA,NA,"East Asian",NA,"Mandarin",NA,NA,"8","4",NA,"8","17",NA,NA,"Mostly right handed","Neutral/moderate",5,4,6,4,4,4,4,4,3,4,7,4,4,4,4,4,4,5,5,4,6,7,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
"54900730","Yes",1,NA,26,"South East Asian",NA,"Both English and another language",NA,"Tagalog",NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Agnostic",NA,"Ambidextrious","Strongly liberal",3,6,4,6,6,3,6,6,6,7,6,5,5,6,7,7,7,7,7,7,7,7,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
"51320428","No",1,NA,NA,"Middle Eastern",NA,"Farsi",NA,NA,"13","7. Completely fluent","Persian","13","12","Muslim",NA,"Mostly right handed","Slightly liberal",4,4,4,3,3,5,4,3,2,2,1,5,4,4,6,3,3,2,2,3,5,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0
