"duration","HSP ID","help","Gender","Gender_Other","Age","Culture","Culture_Other","First_Lanuage","First_Lanuage_O","First_Lanuage_2","English_Years","English_Fluent","Nationality","Years_Canada","Old_Move_Canada","Religion","Religion_Other","Handedness","Political","Year_School","Sex_Orientation","Sex_Orient_Othr","UBC_Faculty","Faculty_Other","Major","Country_Born","country_born_2","Mom education","Dad education","Family.income","Attn","Attnother","BIological.sex","age.30","age.28","CG1","CG2","CG3","CI1","CI2","CI3","SS1","SS2","SS3","SO1","SO2","SO3","DM1","DM2","DM3","DP1","DP2","DP3","DG1","DG2","DG3","duration_decline","HSP ID_decline","help_decline","Gender_decline","Gender_Other_decline","Age_decline","Culture_decline","Culture_Other_decline","First_Lanuage_decline","First_Lanuage_O_decline","First_Lanuage_2_decline","English_Years_decline","English_Fluent_decline","Nationality_decline","Years_Canada_decline","Old_Move_Canada_decline","Religion_decline","Religion_Other_decline","Handedness_decline","Political_decline","Year_School_decline","Sex_Orientation_decline","Sex_Orient_Othr_decline","UBC_Faculty_decline","Faculty_Other_decline","Major_decline","Country_Born_decline","country_born_2_decline","Mom education_decline","Dad education_decline","Family.income_decline","Attn_decline","Attnother_decline","BIological.sex_decline","age.30_decline","age.28_decline","CG1_decline","CG2_decline","CG3_decline","CI1_decline","CI2_decline","CI3_decline","SS1_decline","SS2_decline","SS3_decline","SO1_decline","SO2_decline","SO3_decline","DM1_decline","DM2_decline","DM3_decline","DP1_decline","DP2_decline","DP3_decline","DG1_decline","DG2_decline","DG3_decline","item_decline_total","Age_Group","keep_case"
19,"29750306","Yes",1,NA,27,"East Asian",NA,"Both English and another language",NA,"Mandarin",NA,"7. Completely fluent","Canadian","19","8","Nonreligious",NA,"Mostly right handed","Moderately liberal",5,"Heterosexual/straight only",NA,"Faculty of Arts, Other","Unclassified (formerly Arts, Class of 2016)",NA,"China",NA,"Some college","Professional or Graduate Degree (e.g. PhD MD)","$50,001 - $75,000","Other (Please specify below)","Decision Making","Female","Yes","Yes",5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,5,4,5,5,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
15,"37580408","Yes",1,NA,NA,"East Asian",NA,"Cantonese",NA,NA,NA,"7. Completely fluent","Canadian","20+","Not applicable--I was born in Canada",NA,NA,"Mostly right handed",NA,3,"Heterosexual/straight only",NA,"Faculty of Arts",NA,"Psychology","Canada",NA,"High school graduate","2 year degree (e.g.technical college degree)","$50,001 - $75,000","Other (Please specify below)","Decision Making","Female","Yes","Yes",2,2,1,1,1,1,1,4,1,4,2,1,NA,1,1,1,1,4,1,3,4,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0
26,"99900720","Yes",1,NA,55,"European",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian and American (dual citizen)",NA,"Not applicable--I was born in Canada","Agnostic",NA,"Mostly right handed","Moderately liberal",4,"Other","Mostly heterosexual","Faculty of Arts",NA,"Psychology","Canada",NA,"High school graduate","2 year degree (e.g.technical college degree)","$35,001 - $50,000","Other (Please specify below)","Decision Making","Female","No","No",4,4,5,5,6,5,6,6,5,6,6,5,4,5,5,6,6,6,6,7,7,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
16,"38000603","Yes",1,NA,25,"South East Asian",NA,"Both English and another language",NA,"Vietnamese",NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Buddhist",NA,"Mostly right handed","Neutral/moderate",2,"Heterosexual/straight only",NA,"Faculty of Land and Food Systems",NA,"Food, Nutrition, and Health","Canada",NA,"High school graduate","High school graduate","$50,001 - $75,000","Other (Please specify below)","Decision Making","Female","Yes","Yes",2,3,2,2,3,5,2,3,2,5,1,2,2,2,5,3,4,5,6,7,6,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
8,"54480828","Yes",1,NA,26,"East Asian",NA,"Both English and another language","Mandarin",NA,NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Agnostic",NA,"Mostly left handed","Slightly liberal",5,"Heterosexual/straight only",NA,"Other","Unclassified",NA,"Canada",NA,"High school graduate","4 year degree (e.g.Bachelor's degree)","$100,001 - $150,000","Other (Please specify below)","Decision Making","Female","Yes","Yes",4,5,5,5,5,5,4,4,3,5,3,4,3,5,5,5,5,5,4,5,4,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
14,"36441122","Yes",1,NA,24,"East Asian",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Christian",NA,"Mostly left handed","Moderately liberal",4,"Heterosexual/straight only",NA,"Faculty of Arts",NA,"Psychology","Canada",NA,"High school graduate","High school graduate",NA,"Other (Please specify below)","Decision Making","Female","Yes","Yes",4,3,2,5,3,5,2,4,4,3,2,1,3,2,2,3,3,3,2,3,3,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
14,"54900730","Yes",1,NA,27,"East Asian",NA,"English",NA,NA,NA,"7. Completely fluent","Canadian",NA,"Not applicable--I was born in Canada","Agnostic",NA,"Ambidextrious","Strongly liberal",3,"Heterosexual/straight somewhat more",NA,"Faculty of Arts, Faculty of Science",NA,"Biology & Arts Psychology","Canada",NA,"High school graduate","High school graduate","$15,001 - $25,000","Other (Please specify below)","Decision Making","Female","Yes","Yes",6,2,3,6,5,7,6,5,7,6,6,6,6,6,6,6,6,6,6,7,6,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
11,"10580902","Yes",1,NA,31,"South East Asian",NA,"Both English and another language",NA,"punjabi",NA,"7. Completely fluent","Canadian",NA,NA,NA,NA,"Mostly right handed","Neutral/moderate",5,"Heterosexual/straight only",NA,"Faculty of Arts",NA,"speech science","Canada",NA,"4 year (e.g., Bachelor's degree)","Some college","$50,001 - $75,000","Other (Please specify below)","Decision Making","Female","No","No",6,6,6,6,4,6,6,6,6,7,7,7,7,7,7,7,6,7,6,7,7,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
17,"37260713","Yes",1,NA,25,"South East Asian",NA,"English",NA,NA,NA,"7. Completely fluent","Filipino","11","13","Christian",NA,"Mostly right handed","Moderately liberal",5,"Heterosexual/straight only",NA,"Other","alumni","I already graduated with a Psychology major","Other","Philippines","4 year (e.g., Bachelor's degree)","Professional or Graduate Degree (e.g. PhD MD)","$75,001 - $100,000","Other (Please specify below)","decision making","Female","Yes","Yes",6,6,7,6,5,5,3,3,6,5,6,6,5,5,5,5,4,5,5,5,6,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
10,"13711224","Yes",1,"n/a",24,"East Asian","n/a","Mandarin","n/a","n/a","18","6","Chinese","7","16","Atheist","n/a","Ambidextrious","Moderately liberal",4,"Heterosexual/straight mostly","n/a","Faculty of Arts","n/a","Computer Science","China","n/a","Less than high school","Some college","$100,001 - $150,000","Other (Please specify below)","Decision Making","Female","Yes","Yes",4,3,5,4,5,5,6,6,6,6,6,5,6,5,5,6,6,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
